Year,Name,Number,Rank
1929,DAVID,94,7
1929,GORDON,94,7
1929,KENNETH,91,9
1929,THOMAS,89,10
1929,RICHARD,77,11
1929,RONALD,72,12
1929,CHARLES,60,13
1929,PETER,58,14
1929,DOUGLAS,57,15
1929,EDWARD,57,15
1929,JOSEPH,55,17
1929,HAROLD,54,18
1929,NORMAN,54,18
1929,ALBERT,52,20
1929,ARTHUR,49,21
1929,RAYMOND,44,22
1929,ROY,44,22
1929,FRANK,42,24
1929,FREDERICK,41,25
1929,WALTER,39,26
1929,STANLEY,37,27
1929,HENRY,36,28
1929,ALLAN,34,29
1929,JACK,33,30
1929,LEONARD,33,30
1929,ALEXANDER,27,32
1929,CLIFFORD,26,33
1929,ERNEST,25,34
1929,GERALD,25,34
1929,HERBERT,25,34
1929,LESLIE,23,37
1929,MICHAEL,22,38
1929,FRANCIS,21,39
1929,HARRY,21,39
1929,LAWRENCE,21,39
1929,ALFRED,18,42
1929,ANDREW,18,42
1929,VICTOR,18,42
1929,PATRICK,17,45
1929,REGINALD,17,45
1929,ALAN,16,47
1929,FRED,16,47
1929,HOWARD,16,47
1929,RALPH,16,47
1929,ARNOLD,15,51
1929,HUGH,15,51
1929,LORNE,15,51
1929,BRUCE,14,54
1929,EDWIN,14,54
1929,GILBERT,14,54
1929,IAN,14,54
1929,LLOYD,14,54
1929,ALLEN,12,59
1929,CLARENCE,12,59
1929,WILFRED,12,59
1929,PHILIP,11,62
1929,THEODORE,11,62
1929,COLIN,10,64
1929,EARL,10,64
1929,ELMER,10,64
1929,NEIL,10,64
1929,TSUTOMU,10,64
1929,BERNARD,9,69
1929,CARL,9,69
1929,DANIEL,9,69
1929,ERIC,9,69
1929,EUGENE,9,69
1929,HIROSHI,9,69
1929,KIYOSHI,9,69
1929,LEWIS,9,69
1929,MIKE,9,69
1929,CECIL,8,78
1929,DENNIS,8,78
1929,GLENN,8,78
1929,HARVEY,8,78
1929,KEITH,8,78
1929,LOUIS,8,78
1929,MELVIN,8,78
1929,SHIGERU,8,78
1929,TAKASHI,8,78
1929,TATSUO,8,78
1929,TERUO,8,78
1929,AKIRA,7,89
1929,CYRIL,7,89
1929,MALCOLM,7,89
1929,MURRAY,7,89
1929,PERCY,7,89
1929,PHILLIP,7,89
1929,RODERICK,7,89
1929,ROLAND,7,89
1929,ROSS,7,89
1929,SIDNEY,7,89
1929,WALLACE,7,89
1929,ALEX,6,100
1929,ARCHIBALD,6,100
1929,BENJAMIN,6,100
1929,BRIAN,6,100
1929,GEOFFREY,6,100
1929,HIDEO,6,100
1929,ISAMU,6,100
1929,JOE,6,100
1929,LAURENCE,6,100
1929,MARVIN,6,100
1929,MAURICE,6,100
1929,NICK,6,100
1929,PAUL,6,100
1929,RUSSELL,6,100
1929,STEWART,6,100
1929,ANGUS,5,115
1929,ANTONIO,5,115
1929,BILL,5,115
1929,CALVIN,5,115
1929,EDMUND,5,115
1929,KAZUO,5,115
1929,KUNIO,5,115
1929,MASAYUKI,5,115
1929,MITSURU,5,115
1929,PETE,5,115
1929,STUART,5,115
1929,TERENCE,5,115
1929,TOSHIO,5,115
1929,VERNON,5,115
1929,VINCENT,5,115
1929,WARREN,5,115
1930,WILLIAM,304,1
1930,JOHN,276,2
1930,ROBERT,229,3
1930,JAMES,155,4
1930,GEORGE,150,5
1930,DONALD,145,6
1930,GORDON,95,7
1930,DAVID,93,8
1930,CHARLES,79,9
1930,RONALD,79,9
1930,THOMAS,79,9
1930,KENNETH,75,12
1930,EDWARD,73,13
1930,RICHARD,72,14
1930,WALTER,61,15
1930,NORMAN,59,16
1930,PETER,59,16
1930,ARTHUR,57,18
1930,DOUGLAS,57,18
1930,JOSEPH,53,20
1930,RAYMOND,47,21
1930,ALBERT,45,22
1930,FREDERICK,44,23
1930,STANLEY,44,23
1930,JACK,43,25
1930,FRANK,42,26
1930,HAROLD,39,27
1930,HARRY,39,27
1930,ALLAN,37,29
1930,GERALD,37,29
1930,ROY,36,31
1930,LAWRENCE,33,32
1930,LEONARD,33,32
1930,HENRY,29,34
1930,ALFRED,27,35
1930,HERBERT,27,35
1930,ALEXANDER,25,37
1930,ERNEST,25,37
1930,ALAN,23,39
1930,ANDREW,19,40
1930,VICTOR,18,41
1930,LESLIE,17,42
1930,MAURICE,17,42
1930,CLIFFORD,16,44
1930,LLOYD,16,44
1930,WILFRED,16,44
1930,BERNARD,15,47
1930,BRUCE,15,47
1930,DANIEL,15,47
1930,FRANCIS,15,47
1930,HUGH,15,47
1930,LORNE,15,47
1930,PATRICK,15,47
1930,PAUL,15,47
1930,CECIL,13,55
1930,CLARENCE,13,55
1930,DENNIS,13,55
1930,NEIL,13,55
1930,PHILIP,13,55
1930,ALLEN,12,60
1930,REGINALD,12,60
1930,STEPHEN,12,60
1930,EDWIN,11,63
1930,GILBERT,11,63
1930,HOWARD,11,63
1930,IAN,11,63
1930,RALPH,11,63
1930,RODERICK,11,63
1930,BRIAN,10,69
1930,CARL,10,69
1930,ERIC,10,69
1930,FRED,10,69
1930,MELVIN,10,69
